ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,MRKT_TY_NM,MRKT_OPER_PD,STORE_CO,ADIT_DC,USE_GCCT_CN,HMPG_ADDR,TOILET_EXST_AT,PRKPLCE_EXST_AT,OPNNG_YEAR,TEL_NO,DATA_BASE_DE,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KC483PO22N000000011,쇼핑,전통시장,강북북부시장,서울,강북구,1130510200,번동,1130559500,번1동,1.13054E+11,서울 강북구 한천로123길 26,1066,다사585597,127.0303422,37.63623599,상설장,매일,50,가공식품+음식점업+기타소매업+근린생활서비스업,,,Y,Y,1971,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000012,쇼핑,전통시장,동북시장,서울,강북구,1130510100,미아동,1130553400,삼양동,1.12903E+11,서울 강북구 솔샘로 233,1189,다사575579,127.0190955,37.62042225,상설장,매일,28,농산물+축산물+가공식품+근린생활서비스업,,,Y,Y,1975,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000013,쇼핑,전통시장,수유북부시장,서울,강북구,1130510300,수유동,1130566000,인수동,1.13054E+11,서울 강북구 삼양로91길 11,1090,다사573598,127.016487,37.63675807,상설장,매일,25,기타소매업+근린생활서비스업,,,Y,Y,1974,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000014,쇼핑,전통시장,수유시장,서울,강북구,1130510300,수유동,1130561500,수유1동,1.13054E+11,서울 강북구 도봉로67길 18,1117,다사578591,127.0226681,37.63072891,상설장,매일,60,축산물+의류/신발+가정용품+음식점업+기타소매업,,,Y,Y,1966,02-945-4506,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000015,쇼핑,전통시장,수유재래시장,서울,강북구,1130510300,수유동,1130561500,수유1동,1.13054E+11,서울 강북구 도봉로71길 26,1114,다사578592,127.0223303,37.63153004,상설장,매일,110,농산물+축산물+수산물,,,Y,Y,2005,02-987-6380,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000016,쇼핑,전통시장,수유전통시장(수유골목시장),서울,강북구,1130510300,수유동,1130561500,수유1동,1.13054E+11,서울 강북구 도봉로67길 18,1117,다사578591,127.0226681,37.63072891,상설장,매일,85,농산물+축산물+수산물+가공식품+기타소매업,,www.suyumarket.com,Y,Y,2005,02-989-4730,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000017,쇼핑,전통시장,수유중앙시장,서울,강북구,1130510300,수유동,1130563500,수유3동,1.13054E+11,서울 강북구 노해로17길 21,1076,다사577602,127.0211763,37.64033675,상설장,매일,40,농산물+축산물+가공식품+음식점업,,,Y,Y,1971,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000018,쇼핑,전통시장,수유프라자,서울,강북구,1130510300,수유동,1130561500,수유1동,1.12903E+11,서울 강북구 도봉로 261,1114,다사579592,127.0234675,37.63169253,상설장,매일,88,농산물+의류/신발+가정용품+음식점업+근린생활서비스업,,,Y,Y,1998,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000019,쇼핑,전통시장,숭인시장,서울,강북구,1130510100,미아동,1130555500,송천동,1.12903E+11,서울 강북구 도봉로 45,1211,다사584571,127.0294532,37.61314356,상설장,매일,90,농산물+수산물+가공식품+의류/신발+가정용품,,,Y,Y,1967,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000020,쇼핑,전통시장,우이시장,서울,강북구,1130510300,수유동,1130562500,수유2동,1.13054E+11,서울 강북구 노해로23길 68,1047,다사576608,127.020016,37.64603739,상설장,매일,31,가공식품+음식점업+기타소매업+근린생활서비스업,,,Y,N,1962,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000021,쇼핑,전통시장,장미원골목시장,서울,강북구,1130510300,수유동,1130562500,수유2동,1.12903E+11,서울 강북구 삼양로 464,1039,다사573606,127.0160158,37.64463283,상설장,매일,108,농산물+축산물+수산물+가공식품+기타소매업,,,Y,N,2015,02-900-1256,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000022,쇼핑,전통시장,까치산시장,서울,강서구,1150010300,화곡동,1150059300,화곡8동,1.15004E+11,서울 강서구 강서로12길 14,7760,다사423482,126.8478603,37.53153099,상설장,매일,138,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,2007,02-2606-4500,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000023,쇼핑,전통시장,남부골목시장,서울,강서구,1150010300,화곡동,1150057000,화곡4동,1.15004E+11,서울 강서구 곰달래로55길 4,7741,다사435482,126.8607298,37.5322382,상설장,매일,153,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,2006,02-2646-5636,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000024,쇼핑,전통시장,남부화곡시장,서울,강서구,1150010300,화곡동,1150057000,화곡4동,1.15004E+11,서울 강서구 등촌로5길 80,7738,다사433483,126.8589518,37.53307069,상설장,매일,20,농산물+축산물+수산물+의류/신발+음식점업,,,Y,Y,1978,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000025,쇼핑,전통시장,대원종합시장,서울,강서구,1150010300,화곡동,1150056000,화곡3동,1.15004E+11,서울 강서구 화곡로21길 78,7706,다사413496,126.8364753,37.54448674,상설장,매일,40,농산물+의류/신발+가정용품+음식점업+기타소매업,,,Y,Y,1978,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000026,쇼핑,전통시장,등마루시장,서울,강서구,1150010200,등촌동,1150052000,등촌1동,1.15004E+11,서울 강서구 화곡로68길 120,7550,다사434510,126.8602651,37.55666003,상설장,매일,60,음식점업+기타소매업+근린생활서비스업,,,Y,Y,1980,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000027,쇼핑,전통시장,방신전통시장,서울,강서구,1150010900,방화동,1150063000,방화1동,1.15004E+11,서울 강서구 방화동로16길 32,7604,다사393526,126.812647,37.57150834,상설장,매일,94,농산물+축산물+수산물,,,Y,Y,2006,02-2666-4080,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000028,쇼핑,전통시장,신월중앙시장,서울,강서구,1150010300,화곡동,1150054000,화곡1동,1.15004E+11,서울 강서구 강서로5나길 109,7780,다사418478,126.8419059,37.52796881,상설장,매일,30,가공식품,,,Y,Y,1978,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000029,쇼핑,전통시장,화곡본동시장,서울,강서구,1150010300,화곡동,1150059000,화곡본동,1.15003E+11,서울 강서구 까치산로 35,7721,다사420494,126.8441295,37.54288484,상설장,매일,50,농산물+축산물+수산물+가공식품+기타소매업,,http://hwagokmarket.com,Y,N,2011,02-2698-0779,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000030,쇼핑,전통시장,화곡중앙골목시장,서울,강서구,1150010300,화곡동,1150054000,화곡1동,1.15004E+11,서울 강서구 월정로30길 66,7767,다사416486,126.8395063,37.53488408,상설장,매일,58,농산물+축산물+가정용품+음식점업+기타소매업,,,Y,Y,2005,02-2065-7212,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000031,쇼핑,전통시장,관악신사시장,서울,관악구,1162010200,신림동,1162068500,신사동,1.16204E+11,서울 관악구 관천로19길 89,8705,다사484432,126.9170725,37.48679165,상설장,매일,104,농산물+축산물+수산물+가공식품+의류/신발,,kwanaksinsa.alltheway.kr,Y,Y,2005,02-855-1994,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000032,쇼핑,전통시장,봉일시장,서울,관악구,1162010100,봉천동,1162060500,은천동,1.16203E+11,서울 관악구 은천로 28,8749,다사503431,126.9383804,37.48592467,상설장,매일,24,농산물+축산물+의류/신발,,,Y,Y,1971,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000033,쇼핑,전통시장,봉천제일종합시장,서울,관악구,1162010100,봉천동,1162059500,청룡동,1.16204E+11,서울 관악구 청룡2길 29,8785,다사508425,126.9444156,37.48124954,상설장,매일,30,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,1976,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000034,쇼핑,전통시장,봉천중앙시장,서울,관악구,1162010100,봉천동,1162061500,중앙동,1.16203E+11,서울 관악구 관악로 211,8744,다사517429,126.9543274,37.48419585,상설장,매일,30,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,1969,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000035,쇼핑,전통시장,봉천현대시장,서울,관악구,1162010100,봉천동,1162060500,은천동,1.11703E+11,서울 관악구 양녕로 49,8751,다사510431,126.946515,37.48643059,상설장,매일,32,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,1972,02-882-0492,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000036,쇼핑,전통시장,신림종합시장,서울,관악구,1162010200,신림동,1162068500,신사동,1.16204E+11,서울 관악구 남부순환로157길 63,8762,다사484429,126.9170932,37.4846461,상설장,매일,26,농산물+축산물+가공식품+음식점업+기타소매업,,,Y,N,1977,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000037,쇼핑,전통시장,신림중앙시장,서울,관악구,1162010200,신림동,1162072500,조원동,1.16204E+11,서울 관악구 조원로16길 27,8767,다사479428,126.9114212,37.48314523,상설장,매일,292,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,1978,02-853-7471,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000038,쇼핑,전통시장,신림현대종합상가,서울,관악구,1162010200,신림동,1162066500,서림동,1.16204E+11,서울 관악구 신림로29길 3-20,8845,다사499418,126.9338049,37.47462652,상설장,매일,89,축산물+가공식품+의류/신발+기타소매업+근린생활서비스,,,Y,Y,1993,02-875-4272,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000039,쇼핑,전통시장,신신림시장,서울,관악구,1162010200,신림동,1162074500,삼성동,1.16204E+11,서울 관악구 원신2길 34,8846,다사497414,126.9321463,37.47066149,상설장,매일,40,농산물+축산물+수산물+가공식품,,,Y,N,1971,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000040,쇼핑,전통시장,신원시장,서울,관악구,1162010200,신림동,1162065500,신원동,1.16204E+11,서울 관악구 신원로3길 20-3,8774,다사493426,126.9273791,37.48206598,상설장,매일,121,농산물+축산물+수산물+음식점업+기타소매업,,,Y,Y,2005,02-854-5457,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000041,쇼핑,전통시장,우림시장,서울,관악구,1162010200,신림동,1162077500,난곡동,1.16204E+11,서울 관악구 난곡로26길 4,8856,다사487413,126.9204441,37.47029785,상설장,매일,95,농산물+의류/신발+가정용품+음식점업+기타소매업,,,Y,Y,1977,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000042,쇼핑,전통시장,인헌시장,서울,관악구,1162010100,봉천동,1162062500,인헌동,1.16204E+11,서울 관악구 남부순환로246나길 14,8793,다사526418,126.9647704,37.47486164,상설장,매일,50,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,2007,02-877-2665,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000043,쇼핑,전통시장,펭귄시장,서울,관악구,1162010200,신림동,1162072500,조원동,1.16204E+11,서울 관악구 조원로16길 27,8767,다사479428,126.9114212,37.48314523,상설장,매일,80,농산물+축산물+수산물+가공식품+가정용품,,,N,N,2006,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000044,쇼핑,전통시장,광성시장,서울,광진구,1121510100,중곡동,1121574000,중곡1동,1.12154E+11,서울 광진구 능동로47길 30,4910,다사630516,127.0811202,37.5635863,상설장,매일,132,농산물+축산물+수산물+가공식품+가정용품,,,Y,Y,1980,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000045,쇼핑,전통시장,노룬산골목시장(인정시장),서울,광진구,1121510500,자양동,1121583000,자양2동,1.12153E+11,서울 광진구 자양로 44-6,5112,다사634481,127.0862392,37.53218252,상설장,매일,30,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,2007,070-8961-3651,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000046,쇼핑,전통시장,노룬산시장(건물형),서울,광진구,1121510500,자양동,1121584700,자양4동,1.12003E+11,서울 광진구 뚝섬로 491,5080,다사615486,127.0648775,37.5364854,상설장,매일,58,가공식품+기타소매업+근린생활서비스업,,,Y,Y,1970,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000047,쇼핑,전통시장,능동로골목시장,서울,광진구,1121510500,자양동,1121584700,자양4동,1.12154E+11,서울 광진구 뚝섬로30길 23,5085,다사617485,127.0666557,37.53514507,상설장,매일,87,농산물+축산물+가공식품+의류/신발+기타소매업,,,N,N,2020,02-463-3677,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000048,쇼핑,전통시장,신성종합시장(건물형),서울,광진구,1121510100,중곡동,1121577000,중곡4동,1.12153E+11,서울 광진구 용마산로 50,4949,다사636510,127.0880508,37.5580803,상설장,매일,26,가공식품+음식점업+기타소매업,,,Y,N,1977,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000049,쇼핑,전통시장,영동교골목시장,서울,광진구,1121510500,자양동,1121584700,자양4동,1.12154E+11,서울 광진구 동일로10길 47,5078,다사614487,127.0642052,37.53752561,상설장,매일,57,농산물+축산물+가공식품+기타소매업+근린생활서비스업,,,Y,Y,2009,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000050,쇼핑,전통시장,자양전통시장,서울,광진구,1121510500,자양동,1121582000,자양1동,1.12154E+11,서울 광진구 자양로15길 69,5057,다사628484,127.0798018,37.53495924,상설장,매일,136,농산물+축산물+수산물+가공식품+음식점업,,,Y,Y,2006,02-458-1624,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000051,쇼핑,전통시장,중곡제일전통시장(중곡제일시장),서울,광진구,1121510100,중곡동,1121574000,중곡1동,1.12154E+11,서울 광진구 긴고랑로11길 14,4909,다사630516,127.0817652,37.56388274,상설장,매일,137,농산물+축산물+가공식품+의류/신발+기타소매업,,,Y,Y,2006,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000052,쇼핑,전통시장,화양제일골목시장,서울,광진구,1121510700,화양동,1121571000,화양동,1.12154E+11,서울 광진구 아차산로29길 59,5016,다사619494,127.0692921,37.54349132,상설장,매일,63,농산물+축산물+가공식품+의류/신발+기타소매업,,,N,Y,2011,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000053,쇼핑,전통시장,가리봉시장,서울,구로구,1153010300,가리봉동,1153059500,가리봉동,1.15304E+11,서울 구로구 우마3길 15,8387,다사459426,126.8890779,37.48167727,상설장,매일,66,농산물+축산물+수산물+가공식품+기타소매업,,,Y,N,2014,02-830-4240,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000054,쇼핑,전통시장,개봉중앙시장,서울,구로구,1153010700,개봉동,1153075000,개봉2동,1.15304E+11,서울 구로구 개봉로17길 34,8337,다사429438,126.8540716,37.49178393,상설장,매일,21,농산물+축산물+가공식품+음식점업+기타소매업,,,Y,N,1976,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000055,쇼핑,전통시장,개봉프라자,서울,구로구,1153010600,고척동,1153073000,고척2동,1.15304E+11,서울 구로구 고척로40길 19,8234,다사426449,126.8511199,37.50195711,상설장,매일,98,의류/신발+가정용품+음식점업,,,Y,Y,1993,02-2619-8068,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000056,쇼핑,전통시장,고척근린시장,서울,구로구,1153010600,고척동,1153073000,고척2동,1.15304E+11,서울 구로구 고척로40길 19,8234,다사426449,126.8511199,37.50195711,상설장,매일,69,농산물+축산물+수산물+가공식품+기타소매업,,https://geunrinsijang.modoo.at,Y,Y,2016,02-2060-7504,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000057,쇼핑,전통시장,구로시장,서울,구로구,1153010200,구로동,1153055000,구로4동,1.15304E+11,서울 구로구 구로동로22길 17-4,8311,다사456435,126.8856198,37.48963005,상설장,매일,159,농산물+가공식품+의류/신발+기타소매업+근린생활서비스,,,Y,N,1969,02-868-1452,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000058,쇼핑,전통시장,남구로시장,서울,구로구,1153010200,구로동,1153053000,구로2동,1.15304E+11,서울 구로구 구로동로26길 41,8311,다사457436,126.8864324,37.49020847,상설장,매일,184,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,2010,02-855-8509,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000059,쇼핑,전통시장,남문시장,서울,금천구,1154510200,독산동,1154563000,독산3동,1.15454E+11,서울 금천구 시흥대로144길 17,8544,다사469417,126.9004225,37.47375823,상설장,매일,108,농산물+축산물+수산물+의류/신발+음식점업,,,Y,Y,2003,02-868-9727,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000060,쇼핑,전통시장,은행나무시장,서울,금천구,1154510300,시흥동,1154571000,시흥5동,1.15454E+11,서울 금천구 금하로25길 9,8574,다사477392,126.9093491,37.45131824,상설장,매일,62,농산물+축산물+수산물+가공식품+의류/신발,,,N,Y,2012,02-802-5514,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000061,쇼핑,전통시장,비단길현대시장,서울,금천구,1154510300,시흥동,1154567000,시흥1동,1.15454E+11,서울 금천구 독산로27길 52,8625,다사473400,126.9048774,37.45772651,상설장,매일,228,농산물+축산물+수산물+의류/신발+음식점업,,,Y,Y,2007,02-802-7720,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000062,쇼핑,전통시장,공릉동도깨비시장,서울,노원구,1135010300,공릉동,1135059500,공릉1동,1.13504E+11,서울 노원구 동일로180길 37,1845,다사626582,127.0762493,37.62269037,상설장,매일,106,농산물+축산물+수산물+가공식품+기타소매업,,,N,Y,2006,02-976-4143,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000063,쇼핑,전통시장,방학동도깨비시장,서울,도봉구,1132010600,방학동,1132070000,방학2동,1.13204E+11,서울 도봉구 도당로13가길 17,1355,다사590630,127.0362062,37.66594127,상설장,매일,88,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2003,02-954-1225,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000064,쇼핑,전통시장,백운시장,서울,도봉구,1132010500,쌍문동,1132066000,쌍문1동,1.13204E+11,서울 도봉구 삼양로154길 30,1367,다사572618,127.0148849,37.65549577,상설장,매일,54,농산물+축산물+수산물+가공식품+기타소매업,,,N,N,2019,02-991-0678,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000065,쇼핑,전통시장,쌍문시장,서울,도봉구,1132010500,쌍문동,1132068000,쌍문3동,1.13204E+11,서울 도봉구 도봉로113길 20,1443,다사588610,127.032968,37.6483674,상설장,매일,96,농산물+축산물+수산물,,,N,N,2016,,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000066,쇼핑,전통시장,창동골목시장,서울,도봉구,1132010700,창동,1132051300,창3동,1.13204E+11,서울 도봉구 덕릉로58길 16,1473,다사593599,127.0391454,37.63840117,상설장,매일,62,농산물+축산물+수산물+가공식품+기타소매업,,,Y,N,2006,02-900-4900,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000067,쇼핑,전통시장,창동신창시장,서울,도봉구,1132010700,창동,1132051200,창2동,1.13204E+11,서울 도봉구 덕릉로57길 17,1471,다사591600,127.0374555,37.63943514,상설장,매일,77,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2005,02-990-0040,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
KC483PO22N000000068,쇼핑,전통시장,경동광성상가,서울,동대문구,1123010300,제기동,1123054500,제기동,1.12003E+11,서울 동대문구 고산자로 464,2571,다사592536,127.0388095,37.58099105,상설장,매일,102,농산물+축산물+수산물+가공식품,,,Y,N,2008,02-965-1601,20220706,20220706,소상공인시장진흥공단,KC_483_DMSTC_MCST_TRNMKT_2022,20220706
